"Reference","Photo_No","ImgBox","DigitalID","Date_Added","Source","Date","Subject","Notes","Details","Creator","Location","Dimensions","Condition","Format","Copyright","Seq_No","e18","e19"
"00099","099","3B","DF00181","","","1914","Misc group of 80 people (all named) inc W.J. Tunley W.H. Lewis R.K. Mackay Lord Mayor C M Jenkinson Rev E Moore Rev T leitch","album","Group with Lord Mayor, including some Baptists","Photographer unknown","location unknown","27.7x14.8cm","Good","","","269","",""
"00101","101","3B","DF00183","","","?","Baptist Theological College students and Princ. W. Bell","album","(Back) Pastors C V Barnard, H White, Prinipal Wm Bell, Pastors J White, R F Smith (Front) Rev P Goodman (Sec), E A Kirkwood (Chair), Dr J L Dart (treasurer).","Regent Studios, Brisbane","Brisbane","19.4x14.3cm","Good","","","270","",""
"00102","102","3B","DF00184","","","1927 or before","Baptist Theological College students and Princ. W. Bell","album","(Back) Kajewski, Dart, Abbott, unknown; (Front) Grimes, Bell, WR Smith.","Photographer unknown","Brisbane","18.0x13.1cm","Good","","","271","",""
"00103","103","3B","DF00185","","","?","Miscellaneous group of women - front 4th left Mrs W E Hurst (wife of City Tab pastor). Back 4th from L Mrs Hewson: 2nd back 2nd left Mrs Richer.","album","Women's group - possibly City Tab Ladies Fellowship","Regent Studios, Brisbane","Brisbane","24.5x18.1cm","Good","","","272","",""
"00104","104","4","DF00025","","","?","Rev Ralph Sayce","","City Tab group on front steps of Tab.  Includes Rev W Whale (back row far right) and Rev Wm Moore (front row 5th from left)","Photographer unknown","unknown","20.2x25.2cm","Good","","","273","",""
"00105","105","4","DF00024","","","?","Gayndah Mission Church","","lower 2 on left: Bell Mursell: right clock: Wingfield, Smith ? Pope","Photographer unknown","Gayndah","18.5x24.8cm","Good","","","274","",""
"00106","106","4","DF00018","","","?","Rockhampton Baptist Tabernacle","","","Photographer unknown","Rockhampton","19.3x25.0cm","Good","","","275","",""
"00107","107","6","DF00038","","","1922","Nundah Baptist Church - Elders and Officers in 1922","","","Regent Studios, Thos. Mathewson Co. Brisbane","Nundah","18.7x24.8cm","Good","","","276","",""
"00108","108","4","DF00036","","","?","Russian Baptist Church South Brisbane","","","Photographer unknown","South Brisbane","18.8x24.8cm","Good","","","277","",""
"00109","109","4","DF00058","","","?","Greenslopes Baptist Church","ON DISPLAY","","Photographer unknown","Greenslopes","24.0x30.1cm","Good","","","278","",""
"00110","110","4","DF00033","","","?","Ipswich Baptist Church","","","Photographer unknown","Ipswich","16.2x22.5cm","Good","","","279","",""
"00111","111","4","DF00032","","","?","Home Missionaries and Wives on City Tabernacle steps","","","Photographer unknown","City Tabernacle steps, Brisbane","20.5x24.8cm","Good","","","280","",""
"00112","112","4","DF00039","","","?","Miscellaneous group at City Tabernacle","","","Photographer unknown","City Tabernacle, Brisbane","19.8x25.2cm","Good","","","281","",""
"00113","113","4","DF00026","","","?","Bickmore Mr A.E.","","","Sidney Riley, Queen Street, Brisbane","Brisbane Studios","12.7x20.1cm","Good","","","282","",""
"00114","114","4","DF00046","","","?","Miscellaneous group at City Tabernacle","","","Photographer unknown","City Tabernacle, Brisbane","16.5x22.1cm","Good","","","283","",""
"00115","115","4","DF00045","","","?","Miscellaneous group","","","Thos. Mathewson Co., Brisbane","Unknown","13.7x19.4cm","Good","","","284","",""
"00117","117","4","DF00043","","","1916-1917?","Miscellaneous group at City Tabernacle","","","Photographer unknown","City Tabernacle, Brisbane","16.8x21.7cm","Good","","","285","",""
"00118","118","4","DF00042","","","?","Miscellaneous group at City Tabernacle","","","Photographer unknown","City Tabernacle, Brisbane","16.5x22.1cm","Good","","","286","",""
"00119","119","4","DF00041","","","?","Miscellaneous group at park for picnic","","","Photographer unknown","Unknown","14.7x24.8cm","Good","","","287","",""
"00120","120","4","DF00040","","","?1940-41","Misc group at City Tabernacle inc A. Butler and C.J. Tinsley","","","Greer Thomson Studio","City Tabernacle, Brisbane","19.3x30.4cm","Good","","","288","",""
"00121","121","4","DF00047","","","?","Townsville Baptist Church","","","Photographer unknown","Townsville","15.0x20.2cm","Good","","","289","",""
"00122","122","4","DF00048","","","?","Toowoomba Baptist Church","","","Photographer unknown","Toowoomba","25.5x29.2cm","Good","","","290","",""
"00126","126","5","DF00198","","","","Assembly at Collins St Church, Melbourne","","","""Darge"" 175 Collins St, Melbourne","Collins ST Baptist Melbourne","31.2x18.0cm","Good","","","291","",""
"00127","127","5","DF00199","","","","Assembly at Albert St, Melbourne","","","H M Walker, 117 Collins St Melbourne","Albert St Melbourne","51.0x11.4cm","Good","","","292","",""
"00137-1877","137-1877","3A","DF00060","","","1877","Album of Baptist Associaton/Union presidents 25 pages","","Rev W G Wilson","Photographer unknown","Brisbane","14.0x9.2cm","Fair - damaged","Tif","","293","",""
"00137-1878","137-1878","3A","DF00061","","","1877","Album of Baptist Associaton/Union presidents 25 pages","","Rev J Voller","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","294","",""
"00137-1879","137-1879","3A","DF00062","","","1879","Album of Baptist Associaton/Union presidents 25 pages","","Rev H Coombs","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","295","",""
"001371880","1371880","3A","DF00063","","","1880","Album of Baptist Associaton/Union presidents 25 pages","","Rev J Kingsford","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","296","",""
"00137-1881","137-1881","3A","DF00064","","","1881","Album of Baptist Associaton/Union presidents 25 pages","","Rev W Poole","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","297","",""
"00137-1882","137-1882","3A","DF00065","","","1882","Album of Baptist Associaton/Union presidents 25 pages","","Rev W Moore","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","298","",""
"00137-1883","137-1883","3A","DF00066","","","1883","Album of Baptist Associaton/Union presidents 25 pages","","Mr E Hooker","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","299","",""
"00137-1884","137-1884","3A","DF00067","","","1884","Album of Baptist Associaton/Union presidents 25 pages","","Mr Geo Grimes","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","300","",""
"00137-1885","137-1885","3A","DF00068","","","1885","Album of Baptist Associaton/Union presidents 25 pages","","Rev W Higlett","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","301","",""
"00137-1886","137-1886","3A","DF00069","","","1886","Album of Baptist Associaton/Union presidents 25 pages","","Mr T E White","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","302","",""
"00137-1887","137-1887","3A","DF00070","","","1887","Album of Baptist Associaton/Union presidents 25 pages","","Rev W Whale","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","303","",""
"00137-1888","137-1888","3A","DF00071","","","1888","Album of Baptist Associaton/Union presidents 25 pages","","Rev W Richer","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","304","",""
"00137-1889","137-1889","3A","DF00072","","","1889","Album of Baptist Associaton/Union presidents 25 pages","","Rev W Poole","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","305","",""
"00137-1890","137-1890","3A","DF00073","","","1890","Album of Baptist Associaton/Union presidents 25 pages","","Rev W V Young","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","306","",""
"00137-1891","137-1891","3A","DF00074","","","1891","Album of Baptist Associaton/Union presidents 25 pages","","Rev T Leitch","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","307","",""
"00137-1892","137-1892","3A","DF00075","","","1892","Album of Baptist Associaton/Union presidents 25 pages","","Mr H G Cray","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","308","",""
"00137-1893/4","137-1893/4","3A","DF00076","","","1893-1984","Album of Baptist Associaton/Union presidents 25 pages","","Rev W Whale","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","309","",""
"00137-1895/6","137-1895/6","3A","DF00077","","","1895","Album of Baptist Associaton/Union presidents 25 pages","","Rev J B Sneyd","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","310","",""
"00137-1897","137-1897","3A","DF00078","","","1897","Album of Baptist Associaton/Union presidents 25 pages","","Mr J C Keith","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","311","",""
"00137-1898","137-1898","3A","DF00079","","","1898","Album of Baptist Associaton/Union presidents 25 pages","","Rev F G Buckingham","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","312","",""
"00137-1899","137-1899","3A","DF00080","","","1899","Album of Baptist Associaton/Union presidents 25 pages","","Mr D Webster","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","313","",""
"00137-1900","137-1900","3A","DF00081","","","1900","Album of Baptist Associaton/Union presidents 25 pages","","Rev C Boyall","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","314","",""
"00137-1901","137-1901","3A","DF00082","","","1901","Album of Baptist Associaton/Union presidents 25 pages","","Mr A A Grimes","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","315","",""
"00137-1902","137-1902","3A","DF00083","","","1902","Album of Baptist Associaton/Union presidents 25 pages","","Rev W Whale","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","316","",""
"00137-1903","137-1903","3A","DF00084","","","1903","Album of Baptist Associaton/Union presidents 25 pages","","Mr W D Grimes","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","317","",""
"00137-1904","137-1904","3A","DF00085","","","1904","Album of Baptist Associaton/Union presidents 25 pages","","Rev A G Weller","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","318","",""
"00137-1905","137-1905","3A","DF00086","","","1905","Album of Baptist Associaton/Union presidents 25 pages","","Rev W Page","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","319","",""
"00137-1906","137-1906","3A","DF00087","","","1906","Album of Baptist Associaton/Union presidents 25 pages","","Rev W Poole","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","320","",""
"00137-1907","137-1907","3A","DF00088","","","1907","Album of Baptist Associaton/Union presidents 25 pages","","Rev W Richer","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","321","",""
"00137-1908","137-1908","3A","DF00089","","","1908","Album of Baptist Associaton/Union presidents 25 pages","","Mr W R Smith","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","322","",""
"00137-1909","137-1909","3A","DF00090","","","1909","Album of Baptist Associaton/Union presidents 25 pages","","Rev J E Walton","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","323","",""
"00137-1910","137-1910","3A","DF00107","","","1910","Album of Baptist Associaton/Union presidents 25 pages","","Baptist Ministers Brisbane 1908 - Presentation photo for Rev T J Malyon","Photographer unknown","Brsibane","14.0x9.2cm","Good","Tif","","324","",""
"00137-1911","137-1911","3A","DF00091","","","1911","Album of Baptist Associaton/Union presidents 25 pages","","Rev E Barnett","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","325","",""
"00137-1912","137-1912","3A","DF00092","","","1912","Album of Baptist Associaton/Union presidents 25 pages","","Mr E J T Barton","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","326","",""
"00137-1913","137-1913","3A","DF00093","","","1913","Album of Baptist Associaton/Union presidents 25 pages","","Rev James Mursell","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","327","",""
"00137-1914/5","137-1914/5","3A","DF00094","","","1915","Album of Baptist Associaton/Union presidents 25 pages","","Mr J Spence-Irvine","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","328","",""
"00137-1916","137-1916","3A","DF00095","","","1916","Album of Baptist Associaton/Union presidents 25 pages","","Rev W Bell","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","329","",""
"00137-1917","137-1917","3A","DF00096","","","1917","Album of Baptist Associaton/Union presidents 25 pages","","Rev G J W Moon","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","330","",""
"00137-1918","137-1918","3A","DF00097","","","1918","Album of Baptist Associaton/Union presidents 25 pages","","Mr Frank H Stephens","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","331","",""
"00137-1919","137-1919","3A","DF00098","","","1919","Album of Baptist Associaton/Union presidents 25 pages","","Rev W G Pope","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","332","",""
"00137-1920","137-1920","3A","DF00099","","","1920","Album of Baptist Associaton/Union presidents 25 pages","","Alderman A H Richer JP","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","333","",""
"00137-1921","137-1921","3A","DF00100","","","1921","Album of Baptist Associaton/Union presidents 25 pages","","Rev W H Wingfield","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","334","",""
"00137-1922","137-1922","3A","DF00101","","","1922","Album of Baptist Associaton/Union presidents 25 pages","","Mr W H Bush JP","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","335","",""
"00137-1923","137-1923","3A","DF00102","","","1923","Album of Baptist Associaton/Union presidents 25 pages","","RevRalph Sayce","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","336","",""
"00137-1924","137-1924","3A","DF00103","","","1924","Album of Baptist Associaton/Union presidents 25 pages","","Mr A E Bickmore","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","337","",""
"00137-1925","137-1925","3A","DF00104","","","1925","Album of Baptist Associaton/Union presidents 25 pages","","Rev T U Symonds","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","338","",""
"00137-1926","137-1926","3A","DF00105","","","1926","Album of Baptist Associaton/Union presidents 25 pages","","Mr W R Smith","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","339","",""
"00137-1927","137-1927","3A","DF00106","","","1927","Album of Baptist Associaton/Union presidents 25 pages","","Rev John H Latimer","Thos. Mathewson Co. Brisbane","Brisbane","14.0x9.2cm","Good","Tif","","340","",""
"00138","138","4","DF00051","","from J. Llewellyn","1936 ca","Baptist Union of Q. Assembly group at City Tab","","Brisbane Sunday School demonstration -On site of present Central Railway","Photographer unknown","City Tabernacle, Brisbane","16.5x22.0cm","Good","Tif","","341","",""
"00141","141","4","DF00055","","","1920-30s ?","Group of 16 ministers - all named","","Visit to Brisbane of Rev Silas Mead of South Australia in 1896 - Group Photo.  Standing: Rev W Higlett, J Alexander, T Leitch, A G Weller. Seated: Rev W Moore, Silas Mead, J B Sneyd, W Whale, J Kingsford","Photographer unknown","Unknown","18.6x24.0cm","Good","Tif","","342","",""
"00142","142","4","DF00053","","","20-30s ?","Group of ministers outside City Tab. most named","","Baptist Union of Victoria - Annual Assembly 1900","Photographer: The Regent Studios Brisbane","City Tabernacle, Brisbane","16.2x20.9cm","Good","Tif","","343","",""
"00143","143","4","DF00052","","","1949","Clifford House, Alderley - the original house","Souvenir of 1990 Annual Presentation of Bapist Historical Soc. of Qd","City Tabernacle Deacons 1900 - Standing: G Hiron, T Budd, W H Bush, W R Smith, J C Keith, W Prideaux, J B McKenzie. Seated: T E White, S Price, H G Cray, E Lethem, J A Goldsmith.","Photographer unknown","Alderley Heights","19.0x25.0cm","Good","Tif","","344","",""
"00152","152","4","DF00056","","from E.V.Keith","1932-1938 ca","Assembly, Baptist Union of Q. - outside City Tab.","","Garden party at Acclimatisation Society's gardens to welcome Rev G M Rice and family","Photographer unknown","City Tabernacle, Brisbane","16.3x21.7cm","Good","Tif","","345","",""
"00155B","155B","4","DF00004","","","?1947-1948","Assembly, Baptist Union of Qld - Outside City Tabenacle","","Garden party at Acclimatisation Society's gardens to welcome Rev G M Rice and family","Photographer: W A Jones & Co.Brisbane","City Tabernacle, Brisbane","19.0x24.5cm","Good","Tif","","346","",""
"00155C","155C","4","DF00005","","","31/3/1938","Funeral of Rev J H Latimer group at Taringa manse","","Pastor and Deacons Ipswich Baptist Church Front row: Joseph Ivett, T Woolley, Rev T J Malyon, E Saunders, J B Colthup. Back row: J W Ingram, J W Hastings, H C Frost, A McKenzie.","Photographer unknown","Taringa Manse","15.4x19.1cm","Good","Tif","","347","",""
"00155D","155D","4","DF00006","","","31/3/1938","Funeral of J H Latimer - group at Taringa manse","","Pastor and Deacons Hendra Baptist Church - Sitting: F Spence, Rev H Elliott,T Went. Standing: C H Pritchard, J S Irvine, R S Hancoock.","Photographer unknown","Taringa Manse","15.4x19.1cm","Good","Tif","","348","",""
"00155E","155E","4","DF00007","","","31/3/1938","Funeral of J H Latimer leaving Taringa church","","Baptist Preachers' Society - Front row: W Laing, H F W Tucker, J Low, R Hicks, J Olsen.  Back row: W H Watts, T R Jenkin, L Marks, H J Scoone, W Shoebridge.","Photographer: Telegraph Feature Services Brisbane","Taringa Baptist Church","15.2x20.1cm","Good","Tif","","349","",""
"00155F","155F","4","DF00008","","","1946-47","Assembly, BUQ outside City Tabernacle 1946-47","","Two photographs - On board the SS ""Lucinda"" 15 September 1905","Photographer: W A Jones & Co Brisbane","City Tabernacle, Brisbane","15.3x20.9cm","Good","Tif","","350","",""
"00155H","155H","4","DF00010","","","1940-41","Assembly BUQ 1940-41","","Baptist Association of Queensland - Ministers Fraternal - Photo presented to Rev G M Rice","Photographer: Greer Thomson Brisbane","City Tabernacle, Brisbane","15.9x24.5cm","Good","Tif","","351","",""
"00166","166","8","DF00240","","","","Qld Baptist Home Mission - Children's Crusade Army Crusader's card","Card of Ian Drummond of Toowong","One page ""card"" of people and scene at Toowong cemetery","Photographers unknown","Various locations","Various small photos on poster","Good","Tif","","352","",""
"00167","167","8","DF00241","","","1948","Russian Baptist Church group 10.09.1948","Group in front of church","Russian BC built in Crown Street W'Gabba in 1942","Photographer unknown","W'Gabba","23.0x19.0cm","Good","Tif","","353","",""
"00170","170","8","DF00244","","","","Map of Bangladesh India & Burma","B & W map on A4 page","Mainly a map of Bangladesh showing its borders with India and Burma","Source of map unknown","Bangladesh map","A4 page","Good","Tif","","354","",""
"00171","171","8","DF00245","","","","Detailed map of Bangladesh","Map on A3 size page","Map shows capital Dhaka, internal (Rajshahi, Dhaka, Khulna and Chittagong) and international borders","Source of map unknown","Bangladesh map","A3 page","Good","Tif","","355","",""
"00172A","172A","8","DF00246","","","","Photos from Cameos of Baptist Men in 19th Century Qld","Thomas Woolley","Head and shoulders photo","Photographer unknown","unknown","10.4x7.4cm","Good","Tif","","356","",""
"00172B","172B","8","DF00247","","","","Photos from Cameos of Baptist Men in 19th Century Qld","James Swan","Head and shoulders photo","Photographer unknown","unknown","16.6x11.9cm","Good","Tif","","357","",""
"00172D","172D","8","DF00249","","","","Photos from Cameos of Baptist Men in 19th Century Qld","Queen Street Brisbane around 1859","R A Kingsford's store is the two storey building second from bottom right","Photographer unknown","unknown","16.3x11.2cm","Good","Tif","","358","",""
"00172E","172E","8","DF00250","","","","Photos from Cameos of Baptist Men in 19th Century Qld","Courier Mail office in George Street","Group of people (possibly staff) in front of the former Courier Mail building","Photographer unknown","George Street Brisbane","16.4x10.0cm","Good","Tif","","359","",""
"00172F","172F","8","DF00251","","","","Richard Gailey","Prominent 19th century Architect","Head and shoulders photograph","Photographer unknown","unknown","13.6x11.2cm","Good","Tif","","360","",""
"00173","173","8","DF00252","","Miss E B Roberts","about 1914","Taringa Baptist Church - Junior CE Society","Photo is in an envelope with names etc.","Taringa Junior CE Society were best all round workers and had a high percentage of membership increase","Photographer unknown","unknown","13.5x8.7cm","Good","Tif","","361","",""
"00177","177","8","DF00256","","","1954","Queensland Baptist College - Principal, staff and students (all identified)","","Back row: A P Brady, M L Vines, R T Wedd, C Davis. Third row: L F Skinner, J Walker, J C Ward, H T Seaton, L Miller. Second row: W W Hartin, F D Williams, R Beeston, A Davidson, G A Dunshore, T M Graham. Front row: R M Niebling, P C Wolter, Principal T C Warriner, M E Peck, G A Green.","Regent Studios, 48 Queen St, Brisbane.","Brisbane","20.0x14.5cm","Good","Tif","","362","",""
"00179","179","8","DF00258","","","","Maurice Lee","","Man seated and reading magazine","Photographer unknown","Location unknown","24.2x18.8cm","Good","Tif","","363","",""
"00186A","186A","8","DF00271","","","","United Evangelical Church - photos from the Book ""Fortitude"" .","See page 13 of the book","Drawing of the ship ""Fortitude"".  Copy from John Oxley Library","Artist unknown","n/a","29.4x22.3cm","Good","Tif","Acknowledge John Oxley Library for use of photo","364","",""
"00186B","186B","8","DF00272","","","","United Evangelical Church - photos from the Book ""Fortitude"" .","See cover and pages 10, 32 and 44 of the book","Photo taken in late 1890s, courtesy of the John Oxley Library.","Photographer unknown","George Street, Brisbane","29.4x22.0cm","Good","Tif","Acknowledge use from John Oxley Library","365","",""
"00186C","186C","8","DF00273","","","","Plaque on the site of the United Evangelical Church .","Unveiled on 13 April 1999.","Photo of plaque on the wall of the Treasury Casino and Hotel in William Street Brisbane","Photographer unknown","William Street, Brisbane","29.1x22.7cm","Good","Tif","","366","",""
"00186D","186D","8","DF00274","","","","Cameos of Baptist Men in 19th Century Queensland","Book by Melvin Williams","Photo of David Webster's Boggo Road Biscuit Factory on page 52 of Mel William's book","Photographer unknown","Brisbane","30.5x19.4cm","Good","Tif","","367","",""
"00186E","186E","8","DF00275","","","","United Evangelical Church - photos from the Book ""Fortitude"" .","See page 23 of ""Fortitude""","Photo of Rev Thomas Deacon Baptist Minister","Photographer unknown","Location unknown","29.7x21.0cm","Good","Tif","","368","",""
"00187","187","8","DF00278","","","1915","Brisbane Baptist Ministers Fraternal 1915","Names included under photo","Standing: R Kerr, R Lauchlan, E S Moulton, A C Jarvis, R Horn, A G Weller, R Sayce, H E Saunders, T U Symonds. Seated: W Richer, E Barnett, W Bell, James Mursell, T J Malyon, T Leitch.","Photographer unknown","Brisbane","18.8x13.5cm","Good","Tif","","369","",""
"00188","188","8","DF00279","","","","Ipswich Baptist Church","","Original building in Brisbane Street, Ipswich","Photographer unknown","Ipswich","21.6x16.5cm","Good","Tif","","370","",""
"00190","190","8","DF00281","","","1956","Wynnum Baptist Church - 4 November 1956","","Small black and white photo","F G Naylor","Wynnum","9.0x6.3cm","Good","Tif","","371","",""
"00191","191","8","DF00282","","","1956","Queensland Theological College - 6 November 1956","","Small black and white photo","F G Naylor","Brisbane","9.0x6.3cm","Good","Tif","","372","",""
"00192","192","8","DF00283","","","1956","Toowong Baptist Church - 3 November 1956","","Small black and white photo","F G Naylor","Toowong","9.0x6.3cm","Good","Tif","","373","",""
"00193","193","8","DF00284","","","","Mr Ross & Mrs Beth Smith and child","","Small BxW photo in Air Mail envelope","Photographer unknown","Location unknown","12.7x8.9cm","Good","Tif","","374","",""
"00195","195","8","DF00286","","","1858","Notice - Farewell Service Rev B G Wilson from Barnsley UK - 19 April 1858","Photo of Farewell notice","Notice of meeting and service to farewell B G Wilson on 19 April 1858 before he left for Brisbane","Photographer unknown","Unknown","36.2x29.4cm","Good","Tif","","375","",""
"00196","196","8","DF00287","","","1954","Opening Dalby Baptist Church - 22 May 1954","2 printed items and three small photos","Collage of photos and information relating to the opening of Dalby BC","Photographer unknown","Dalby","22.8x21.5cm","Good","Tif","","376","",""
"00197A","197A","8","DF00288","","","1952","Opening Gayndah Baptist Church - 11 October 1952","Three small photos","Collage of photo and information relating to the Gayndah BC","Photographer unknown","Gayndah","22.8x21.5cm","Good","Tif","","377","",""
"00197B","197B","8","DF00289","","","1952","Opening Gayndah Baptist Church - 11 October 1952","Three small photos","Collage of photo and information relating to the Gayndah BC","Photographer unknown","Gayndah","22.8x21.5cm","Good","Tif","","378","",""
"00197C","197C","8","DF00290","","","1952","Opening Gayndah Baptist Church - 11 October 1952","Eleven small photos","Collage of photo and information relating to the Gayndah BC","Photographer unknown","Gayndah","22.8x21.5cm","Good","Tif","","379","",""
"00199","199","8","DF00292","","","1928","Queensland Delegates Perth Convention 1928","","Group photo none of the delegates to the convention identified","Illustrations Ltd Perth WA","Perth","20.0x15.3cm","Good","Tif","","380","",""
"00200","200","8","DF00293","","","1928","Perth Convention 1928","","National Council Perth Convention 1928","Illustrations Ltd Perth WA","Perth","20.4x15.0cm","Good","Tif","","381","",""
"00201","201","8","DF00294","","","1933","Ushers forChristian Endeavour Convention","","Possibly Brisbane Convention in 1933","Regent Studios Brisbane","Brisbane","19.4x14.0cm","Good","Tif","","382","",""
"00202","202","8","DF00295","","","1936","Central Qld District Union - Easter 1936","","Christian Endeavour meeting Easter 1936","Photographer unknown","Location unknown","16.3x11.5cm","Good","Tif","","383","",""
"00203","203","8","DF00296","","","1920","National Convention Sydney - 1920","","Group photo of delegates to the Convention","The Crown Studios Sydney","Sydney","20.3x15.7cm","Good","Tif","","384","",""
"00206","206","8","DF00299","","","1931","Pacific International Convention (Sydney) 1931 - Certificates for participants","","Five copies of certificate in envelope","Unknown","Unknown","24.5x19.5cm","Good","Tif","","385","",""
"00207","207","8","DF00300","","","","Hervey Bay Camp","","Colour photo of one of the buildings at Barrawinga","Photographer unknown","Harvey Bay","20.2x13.1cm","Good","Tif","","386","",""
"00208","208","8","DF00301","","","","Hervey Bay Camp","","Colour photo of dining area at Barrawinga","Photographer unknown","Harvey Bay","20.2x13.1cm","Good","Tif","","387","",""
"00209","209","8","DF00302","","","","Toowoomba Camp","","Colour photo of sleeping quarters","Photographer unknown","Toowoomba Camp","20.3x15.0cm","Good","Tif","","388","",""
"00210","210","8","DF00303","","","","Hervey Bay Camp","","Harvey Bay Camp kitchen and eating area","Photographer unknown","Harvey Bay","20.2x15.1cm","Good","Tif","","389","",""
"00211","211","8","DF00304","","","","Hervey Bay Camp","","Colour view of buildings at ""Barrawinga"" Harvey Bay Camp","Photographer unknown","Harvey Bay","20.2x15.1cm","Good","Tif","","390","",""
"00212","212","8","DF00305","","","","Pfeffer Lodge Toowoomba","","Colour photo of Pfeffer Lodge at the Toowoomba Camp","Photographer unknown","Toowoomba Camp","20.3x15.0cm","Good","Tif","","391","",""
"00215","215","8","DF00308","","","1927","Fairfield Baptist Sunday School - W.D. Grimes 29 June 1927 (Duplicate of #11)","","Collage of portraits of people presented to W D Grimes by the Officers and Teachers of the Fairfield Baptist Sunday School on 29 July 1927","Regent Studios","Brisbane","24.0x18.3cm","Good","Tif","","392","",""
"00216","216","8","DF00309","","","","Old aerial photo of Brisbane","","Large Black and aerial White photo of the Brisbane CBD","Courier Mail","Brisbane","35.0x26.8cm","Good","Tif","","393","",""
"00218","218","10","DF00320","","","1921","Members of Qld CE Training Class 1921 (two copies)","","First year with two CE classes","Thos Mathewson Co Brisbane","Brisbane","19.0x13.4cm","Good","Tif","","394","",""
"00219","219","10","DF00321","","","1921","Queensland State Convention Group Photo 1921 (3 copies)","","At least 10 in the group became Ministers, Missionaries and Youth Workers","Photographer unknown","Location unknown","28.7x19.0cm","Good","Tif","","395","",""
"00267","267","10","DF00323","","","1983","Phil Hancox - 21 October 1983","","President of the BUQ in 1972-1973","Photographer unknown","Brisbane","24.1x19.0cm","Good","Tif","","396","",""
"00422","422","10","DF00368","","","","Stephen & Kay Wade","Senior Pastor Gladstone","Prayer support for ongoing health and work","Photographer unknown","Location Unknown","13.6x9.7cm","Good","Tif","","397","",""
